,date,url,title
0,20210430,https://sputnikglobe.com/20210430/biden-us-military-brass-will-decide-whether-to-issue-covid-19-vaccine-mandate-for-troops-1082775132.html,Biden: US Military Brass Will Decide Whether to Issue COVID-19 Vaccine Mandate for Troops
1,20210430,https://sputnikglobe.com/20210430/russian-vaccines-protect-from-all-known-strains-of-covid-19-rospotrebnadzor-says--1082773438.html,"Russian Vaccines Protect From All Known Strains of COVID-19, Rospotrebnadzor Says "
2,20210430,https://sputnikglobe.com/20210430/hope-theres-no-quid-pro-quo-is-us-expecting-something-in-return-for-covid-aid-to-india-1082769631.html,‘Hope There's No Quid Pro Quo’: Is US Expecting Something in Return for COVID Aid to India?
3,20210430,https://sputnikglobe.com/20210430/albania-approves-use-of-russian-covid-19-vaccine-sputnik-v-1082773076.html,Albania Approves Use of Russian COVID-19 Vaccine Sputnik V
4,20210430,https://sputnikglobe.com/20210430/yogi-adityanath-supreme-court-sos-tweets-1082769704.html,Will Yogi Adityanath Fight Back After Supreme Court Allowed Indians to Seek COVID Help Via Twitter?
5,20210430,https://sputnikglobe.com/20210430/first-100-days-biden-stretched-too-thin-with-many-of-his-plans-getting-stuck-observers-say-1082771586.html,"First 100 Days: Biden Stretched Too Thin With Many of His Plans Getting Stuck, Observers Say"
6,20210430,https://sputnikglobe.com/20210430/turkish-health-ministry-authorizes-use-of-sputnik-v-vaccine-health-minister-says-1082771695.html,"Turkish Health Ministry Authorizes Use of Sputnik V Vaccine, Health Minister Says"
7,20210430,https://sputnikglobe.com/20210430/joe-rogan-clarifies-his-remarks-on-covid-19-vaccination-im-not-a-doctor-1082769535.html,Joe Rogan Clarifies His Remarks on COVID-19 Vaccination: ‘I’m Not a Doctor’
8,20210430,https://sputnikglobe.com/20210430/mike-pence-slams-biden-for-avalanche-of-liberal-policies-threatening-to-derail-progress-we-made-1082768385.html,Mike Pence Slams Biden for ‘Avalanche of Liberal Policies' Threatening to ‘Derail Progress We Made’
9,20210429,https://sputnikglobe.com/20210429/worldwide-number-of-covid-19-cases-surpasses-150-million-johns-hopkins-university-says-1082767161.html,"Worldwide Number of COVID-19 Cases Surpasses 150 Million, Johns Hopkins University Says"
10,20210429,https://sputnikglobe.com/20210429/irresponsible-new-york-gov-cuomo-slams-mayor-de-blasio-says-state-could-reopen-ahead-of-july-1-1082766154.html,"'Irresponsible': New York Gov. Cuomo Slams Mayor De Blasio, Says State Could Reopen Ahead of July 1"
11,20210429,https://sputnikglobe.com/20210429/us-wwii-veterans-hope-to-visit-russia-again-once-travel-restrictions-lifted-1082765851.html,US WWII Veterans Hope to Visit Russia Again Once Travel Restrictions Lifted
12,20210429,https://sputnikglobe.com/20210429/macron-unveils-frances-4-phase-plan-out-of-covid-19-lockdown-1082765354.html,Macron Unveils France's 4-Phase Plan Out of COVID-19 Lockdown
13,20210429,https://sputnikglobe.com/20210429/netizens-in-stitches-as-professors-faust--snape-to-head-covid-19-trial-in-britain-1082764811.html,Netizens in Stitches as Professors Faust & Snape to Head COVID-19 Trial in Britain
14,20210429,https://sputnikglobe.com/20210429/dia-chief-accuses-china-and-russia-of-using-covid-19-environment-for-info-war-against-the-west-1082764817.html,DIA Chief Accuses China and Russia of ‘Using COVID-19 Environment’ for Info War Against the West
15,20210429,https://sputnikglobe.com/20210429/iran-creates-spray-against-coronavirus-state-media-says--1082764732.html,"Iran Creates Spray Against Coronavirus, State Media Says "
16,20210429,https://sputnikglobe.com/20210429/oil-on-the-rebound-what-could-investors-face-as-the-oil-and-gas-market-normalises-post-covid-19-1082762822.html,Oil 'On The Rebound': What Could Investors Face As The Oil and Gas Market Normalises Post-COVID-19?
17,20210429,https://sputnikglobe.com/20210429/sputnik-v-makers-launch-defamation-suit-against-brazils-health-regulator-for-spreading-false-info-1082763166.html,Sputnik V Makers Launch Defamation Suit Against Brazil's Health Regulator 'For Spreading False Info'
18,20210429,https://sputnikglobe.com/20210429/post-covid-will-journalists-be-just-as-carried-away-by-geopolitics-and-techno-nationalism-1082761263.html,Post-COVID: Will Journalists Be Just As Carried Away By Geopolitics And Techno-Nationalism?
19,20210429,https://sputnikglobe.com/20210429/biden-set-to-introduce-american-families-plan-in-faux-state-of-the-union-tonight-1082761237.html,Biden Set to Introduce 'American Families Plan' in Faux State of the Union Tonight
20,20210429,https://sputnikglobe.com/20210429/no-longer-self-reliant-pm-modi-criticised-as-india-accepts-foreign-aid-for-first-time-in-16-years-1082758710.html,'No Longer Self-Reliant': PM Modi Criticised as India Accepts Foreign Aid for First Time in 16 Years
21,20210429,https://sputnikglobe.com/20210429/czech-drug-regulator-stops-studying-sputnik-v-documentation-due-to-lack-of-information-1082760958.html,Czech Drug Regulator Stops Studying Sputnik V Documentation Due to Lack of Information
22,20210429,https://sputnikglobe.com/20210429/us-senators-urge-pfizer-other-american-vaccine-manufacturers-to-share-technology-with-india-1082757754.html,"US Senators Urge Pfizer, Other American Vaccine Manufacturers to Share Technology With India"
23,20210429,https://sputnikglobe.com/20210429/bidens-first-speech-to-congress-exhausting-war-on-immigration-police--gun-reforms-and-more-1082757488.html,"Biden's First Speech to Congress: 'Exhausting War on Immigration', Police & Gun Reforms, and More"
24,20210429,https://sputnikglobe.com/20210429/cnn-reporter-triggers-confusion-after-praising-joe-bidens-moderate-radicalism-1082755449.html,CNN Reporter Triggers Confusion After Praising Joe Biden’s ‘Moderate Radicalism’
25,20210429,https://sputnikglobe.com/20210429/biden-addresses-joint-session-of-congress-on-100th-day-in-office-1082753705.html,Biden Addresses Joint Session of Congress on 100th Day in Office
26,20210429,https://sputnikglobe.com/20210429/both-russian-planes-with-aid-for-india-land-in-new-delhi---photos-1082755677.html,Both Russian Planes With Aid for Coronavirus-Hit India Land in New Delhi - Photos
